{91582d81-bc04-4e28-971c-5f71aeefedd7} bank:/40K
{d3d376b6-af21-4ae3-917c-3e8fb781b724} bank:/Master Bank
{4bce5662-de5a-06a1-1735-b4714672b1bc} bank:/Master Bank.strings
{fd1ec6a6-24b7-4a2e-9988-9733b99dc81e} bus:/
{ab2beddd-fa07-445b-a933-d5cca76adb6e} bus:/UNASSIGNED 2
{1a5d4dc3-8fc9-4261-a499-f3f6b0202e17} bus:/UNASSIGNED 3
{0b728e09-75ca-402a-994c-60d2966e6400} bus:/UNASSIGNED 4
{c77e6e4c-f45c-48ef-911b-7981915e0fd8} bus:/ambience+reverb
{f34de4a2-1c20-4c14-99a0-eeb17d2f30a1} bus:/ambient
{2cbf3aea-7bb4-4ea3-a5d4-bf22bf26f0d0} bus:/distant_reverb
{af5b14c7-ccc0-43a9-aa70-65cd8f5344a4} bus:/game_sfx
{8f8e9fd3-8a5c-4873-8776-2d3f3be234a5} bus:/lowpass
{4686115c-5062-400a-b903-d03d5c45527e} bus:/music
{5499ef15-f83e-4e92-9144-d53eab549f87} bus:/music_intro_etc
{9e5f6674-ecca-4cb3-9e39-050604be24e9} bus:/music_reverb
{8340afee-1bfb-481c-8b65-a1721703356c} bus:/reverb
{40bdfd79-5dfd-4303-8a71-0792c637c380} bus:/ui
{8f643668-4754-4449-8366-c559fc686301} event:/fx/salvaging
{20d8dbb6-2e51-49f6-a70e-1f72e4ffeaa1} event:/fx/short_circuit
{9104d5b2-d433-4480-a5a6-060e0c50f701} event:/fx/short_circuit_alt
{46be8f2b-c250-4f2c-b33d-a1104521f05e} event:/fx/status_effects/ambient/rage
{aa799930-b815-4bb4-82b9-8f3f4a2df125} event:/fx/status_effects/ambient/shadow
{6c3cd8f9-6168-4edf-a83c-7c80040671df} event:/fx/status_effects/overload/create
{be9e4a56-54e6-4396-bd94-8443a591c409} event:/fx/status_effects/overload/game_effect_end
{4a26a7ee-457f-49bf-be3b-5ff7126af2aa} event:/fx/status_effects/warpfire_start
{3f0e19d0-1287-4665-b363-1e3cb5b725b5} event:/fx/ui/backward
{e49b11fe-52a9-4fd6-876c-7d40e9a3eb60} event:/fx/ui/capture_mode_off
{35585ed7-ac98-488e-8973-05b5148ea930} event:/fx/ui/capture_mode_on
{785b7714-bfba-407d-9f98-18baaf332cf6} event:/fx/ui/exp_mode_off
{104883a6-cf06-4a45-9db7-fd5e4ba40865} event:/fx/ui/exp_mode_on
{7bb24772-3c06-4f66-942c-512e618efbf5} event:/fx/ui/forward
{6d568e80-7e34-4854-ad67-ea4c93d55425} event:/fx/ui/holo_button
{f83c27d5-4f4a-4cd0-9059-d76199bd57fa} event:/fx/ui/holo_failure
{61a345c0-edce-4efc-afaf-2ce60bc3369f} event:/fx/ui/menu_close
{74905c35-c289-4593-867b-06592cfdc7e0} event:/fx/ui/menu_open
{753d19fd-a7c5-4b3d-a19a-26ba29178af9} event:/fx/ui/note
{14ce54ff-8be1-4f69-97aa-ed8b4cf90b9d} event:/fx/ui/quest_end
{c86bcd31-e9d0-42a5-880d-ec38fdb0e170} event:/fx/ui/quest_start
{ccb98f80-9b1b-4383-91b0-6cef16c7a1a0} event:/fx/ultramar_anthem
{55af6719-e07b-4369-ac54-9af2ba23accc} event:/guns/bayonet_hit
{4badce01-5a3c-419c-b86d-b26e5ea63675} event:/guns/burst
{03513c68-3b74-4ddb-80b7-2de3b12ed4ea} event:/guns/casings/casing_normal/destroy
{c8616d0a-3df8-4945-b06e-fb38f68b4b2f} event:/guns/chainsword/active
{cc2efad3-e187-42f1-acd0-461956c8bd72} event:/guns/chainsword/slice_armor
{d60bbdb1-ebe6-45f9-8515-6a285703e7a0} event:/guns/chainsword/slice_flesh
{ae936efc-66b6-4272-a495-6c582a17a75c} event:/guns/melting_flesh
{f1fba245-85ad-442e-a325-1550b9a98edd} event:/guns/reloads/bolt_dryfire
{d740f0c4-15a8-49b3-9cad-a2012f737f66} event:/guns/reloads/bolt_reload_end
{35b0208b-4783-4076-adb8-3dbe068d17e7} event:/guns/reloads/bolt_reload_start
{c9103f61-5104-4c00-b40e-a62098cd672a} event:/guns/reloads/darkfire_reload_end
{5f7c8646-2cfa-458e-a6b7-aa55b12c3e8c} event:/guns/reloads/overheat_end
{a71643b3-575c-4631-851b-2b0715577637} event:/guns/reloads/overheat_start
{b32ce1ae-39ef-41d0-b698-a3f2753e252e} event:/guns/sollex/active
{17fd7a2c-cb8e-43db-b59d-41ce7298b098} event:/guns/sollex/end
{f1fabc88-5fed-4310-81d9-30cc3d18a769} event:/guns/sollex/start
{6d37f1e9-2a47-4593-a9f0-b93b143668b5} event:/guns/switch
{2282988f-e132-41ca-80f8-09b3d16cd965} event:/items/equip
{e22e7787-c8bc-49af-ac0b-d488b00c1ecf} event:/items/osculant_device/extract
{d401c5ee-3a20-49ea-8996-375acaf306c1} event:/items/osculant_device/synthesize
{0dcf543d-a02d-40c1-9771-722a2d125b93} event:/items/pin_pull
{906cb342-30db-4495-ba14-07f7e52a8414} event:/items/unequip
{9747e381-f63d-45be-bdf6-1162e41efe34} event:/player/armor/ArmorHit1
{02d78841-62d0-403a-9427-6174d018c955} event:/player/armor/ArmorHit2
{7c6d567c-343b-4f79-acf8-3c2c3a4f6964} event:/player/armor/ArmorHit3
{1f638649-529a-4fad-ac0c-e4f73b5a3644} event:/player/armor/ArmorHit4
{b2f2f6ed-fdfc-4090-9833-1c738fb38cd8} event:/player/armor/ArmorHit5
{c5a2f92e-f023-4e1e-8870-3d20bbc4772d} event:/player/concussion
