,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
n40k_GUN_bolter_pistol,Bolt Pistol,,,,,,,,,,,,,
n40k_GUN_bolter_pistol_,"An extremely compact semi-automatic variant of the Bolter. Requires a special training and an inhuman strength to be successfully utilized. Commonly dual wielded.",,,,,,,,,,,,,
n40k_GUN_bolter_generic,Bolter,,,,,,,,,,,,,
n40k_GUN_bolter_generic_,"The Bolter, also called a Boltgun, and its variants are some of the most powerful, hand-held, ballistic anti-personnel weaponry in use by the military forces of the Imperium of Man. It is chambered in .998 calibre and capable of fully automatic fire.",,,,,,,,,,,,,
n40k_GUN_bolter_combimelta,Betrayer's Bane,,,,,,,,,,,,,
n40k_GUN_bolter_combimelta_,"Betrayer's Bane is one of the many patterns of the standard Boltgun. A masterpiece of enginering, it somehow manages to combine a fully functional Bolter and a modified version of the Melta-Cutter in a single handheld device. Use [RMB] for the secondary fire mode.",,,,,,,,,,,,,
n40k_GUN_bolter_incendiary,Drake's Roar,,,,,,,,,,,,,
n40k_GUN_bolter_incendiary_,"Drake's Roar is one of the many patterns of the standard Boltgun. It features slightly redesigned exterior while keeping near indetical to the original model insides, that were only slightly tweaked to operate flawlessly with the Inferno rounds - its default ammunition.",,,,,,,,,,,,,
n40k_GUN_bolter_rapid,Octavio's Burden,,,,,,,,,,,,,
n40k_GUN_bolter_rapid_,"Octavio's Burden is one of the many patterns of the standard Boltgun. This one has a Canticle of Unceasing Service inscribed which grants it a unique ability of condencing the power of the Black Rage into blood-like substance that constantly lubricates the mechanism improving the rate of fire.",,,,,,,,,,,,,
n40k_GUN_bolter_archeo,Ravenwing Bolter,,,,,,,,,,,,,
n40k_GUN_bolter_archeo_,"Ravenwing Bolter utilises a special type of ammunition, Stasis rounds, that are able to momentarily halt the flow of time in the surrounding area to stun and desorient the foe.",,,,,,,,,,,,,
n40k_GUN_bolter_stalker,Stalker Bolter,,,,,,,,,,,,,
n40k_GUN_bolter_stalker_,"Incredibly accurate and powerful yet still compact and reliable sniper-grade pattern of the standard Bolter design. It's uses .998 armour-piercing rounds with extended casing and comes with a scope that can be accessed via the [RMB].",,,,,,,,,,,,,
n40k_GUN_volkite_pistol,Volkite Caliver,,,,,,,,,,,,,
n40k_GUN_volkite_pistol_,"Volkite Weapons are a type of beam weapon developed during the Dark Age of Technology. They produce a deflagrating attack, in which subsonic combustion caused by a beam of thermal energy propagated through a target material by thermodynamic heat transfer so that hot burning matter heates the next layer of cold material and ignites it.",,,,,,,,,,,,,

n40k_GUN_plasma_pistol,Plasma Pistol,,,,,,,,,,,,,
n40k_GUN_plasma_pistol_,"Plasma weapons make use of a micro-fusion nuclear reaction to superheat a cartridge of gas into the state of matter known as plasma and then release it in a projectile-like cloud. Such a volitile process is incredibly hard to control however, so the gun tends to explode right in the hands of its operator upon overheating. This version has been modified to increase the amount of expelled plasma, though at the cost of nullifying the AP capabilities. Hold [LMB] to start the charging cycle.",,,,,,,,,,,,,
n40k_GUN_bolter_rifle,Bolt Rifle,,,,,,,,,,,,,
n40k_GUN_bolter_rifle_,"An anti-armour semi-automatic bolter variant chambered in 50mm. Comes with an attached bayonet intended for jumppack charges.",,,,,,,,,,,,,
n40k_GUN_darkfire_rifle,Darkfire Rifle,,,,,,,,,,,,,
n40k_GUN_darkfire_rifle_,"Photon Thruster Weapons unleash a howling needle-thin beam of blackness able to pierce through the densest matters and easily rip the most heavily armoured men and machines apart. This model is appeared to be a downscaled Darkfire Cannon, a superheavy vehicle-mounted weapon. It seems that the darkfire beam interacts with this world in strange ways - stay vigilant.",,,,,,,,,,,,,

n40k_GUN_sword_chain,Chainsword,,,,,,,,,,,,,
n40k_GUN_sword_chain_,"The Chainsword is the preferred close combat melee weapon of many of the military forces of the Imperium of Man. It is essentially a sword with powered teeth that run along a single-edged blade like that of a chainsaw. Most versions of the weapon make use of monomolecularly-edged or otherwise razor-sharp teeth.",,,,,,,,,,,,,
n40k_GUN_sword_sollex,Sollex-Aegis Energy Blade,,,,,,,,,,,,,
n40k_GUN_sword_chain_large,Marine Chainsword,,,,,,,,,,,,,
n40k_GUN_sword_chain_large_,"The Chainsword is the preferred close combat melee weapon of many of the military forces of the Imperium of Man. It is essentially a sword with powered teeth that run along a single-edged blade like that of a chainsaw. Most versions of the weapon make use of monomolecularly-edged or otherwise razor-sharp teeth.",,,,,,,,,,,,,
n40k_GUN_sword_sollex,Sollex-Aegis Energy Blade,,,,,,,,,,,,,
n40k_GUN_sword_sollex_,"This weapon is a product of information obtained from the Aegis Data Fragments and utilises the properties of the Sollex focusing crystals. It is the one of the rarest type of weapons in the Imperium, a blade of coherent high-energy plasma which materialises from the armoured hilt as a blazing, roaring column of blue-white fire. Use [RMB] to activate it and [LMB] to swing.",,,,,,,,,,,,,

n40k_GUN_melta_pistol,Inferno Pistol,,,,,,,,,,,,,
n40k_GUN_melta_pistol_,"A drastically downscaled version of the Meltagun, still capable of vaporization foes in split second but at a cost of heavily decreased thermal capacity.",,,,,,,,,,,,,
n40k_GUN_melta_cutter,Melta-Cutter,,,,,,,,,,,,,
n40k_GUN_melta_cutter_,"Melta Weapons are a type of thermal weapons that make use of a sub-atomic reaction in a chemical fuel source to produce a tightly-focused beam of intense, searing heat. This version was primarily designed for demolition work - not for actual combat, as Metlaguns were, but will still perform exceptionally in a CQC.",,,,,,,,,,,,,
n40k_GUN_lasgun_mitra,Mitralock,,,,,,,,,,,,,
